movie,title,genres,year,Rating,RottenTomato
1572,"Contempt (Mépris, Le)",Drama,1963,9,51
1948,Tom Jones,Adventure|Comedy|Romance,1963,7,53
2098,Son of Flubber,Children|Comedy,1963,8,77
2136,"Nutty Professor, The",Comedy|Sci-Fi,1963,4,62
2554,Children of the Damned,Horror|Sci-Fi|Thriller,1963,10,59
2780,"Raven, The",Comedy|Horror,1963,10,67
3076,Irma la Douce,Comedy,1963,2,67
3461,Lord of the Flies,Adventure|Drama|Thriller,1963,1,70
3832,"Black Sabbath (Tre volti della paura, I)",Horror,1963,1,90
4274,Cleopatra,Drama|Romance,1963,7,94
4687,Billy Liar,Comedy,1963,3,75
5022,"Servant, The",Drama,1963,3,62
5057,4 for Texas,Comedy|Western,1963,4,60
6182,"Thrill of It All, The",Comedy,1963,4,74
6432,"Courtship of Eddie's Father, The",Comedy,1963,4,69
6562,Spencer's Mountain,Comedy|Drama,1963,3,57
7926,High and Low (Tengoku to jigoku),Crime|Drama|Film-Noir|Thriller,1963,7,66
8724,"Leopard, The (Gattopardo, Il)",Drama|War,1963,8,57
8850,Flipper,Adventure|Children|Drama,1963,8,73
8903,"Terror, The",Horror|Mystery,1963,10,52
43635,Bye Bye Birdie,Comedy|Musical,1963,1,83
107081,Zatoichi on the Road (Zatôichi kenka-tabi) (Zatôichi 5),Action|Drama,1963,9,52
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical|Romance,1963,10,71
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,1963,4,57
914,My Fair Lady,Comedy|Drama|Musical|Romance,1963,10,90
1028,Mary Poppins,Children|Comedy|Fantasy|Musical,1963,9,94
2181,Marnie,Drama|Mystery|Romance|Thriller,1963,3,63
2784,"Masque of the Red Death, The",Horror,1963,1,61
2951,"Fistful of Dollars, A (Per un pugno di dollari)",Action|Western,1963,8,74
3224,Woman in the Dunes (Suna no onna),Drama,1963,8,95
3634,Seven Days in May,Thriller,1963,2,51
3924,Pajama Party,Comedy,1963,6,93
3963,"Unsinkable Molly Brown, The",Musical,1963,2,94
4399,"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",Comedy|Drama,1963,8,76
5638,Godzilla vs. Mothra (Mosura tai Gojira),Action|Adventure|Fantasy|Sci-Fi,1963,3,88
5899,Zulu,Action|Drama|War,1963,10,67
6609,"Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il)",Drama,1963,2,60
7560,Fail-Safe,Drama|Thriller|War,1963,8,59
7564,Kwaidan (Kaidan),Horror,1963,2,51
7771,Zorba the Greek (Alexis Zorbas),Adventure|Drama,1963,1,73
7944,"Night of the Iguana, The",Drama|Thriller,1963,7,89
8190,"Americanization of Emily, The",Comedy|Drama|War,1963,8,100
8761,"Three Lives of Thomasina, The",Children|Drama,1963,7,82
8828,Dead Ringer,Drama|Thriller,1963,6,59
8857,Lilith,Drama,1963,9,83
42783,Shadows of Our Forgotten Ancestors (Tini zabutykh predkiv),Drama|Romance,1963,10,97
50740,Seven Up!,Documentary,1963,7,88
